"","method","ranking.accuracy","class.accuracy","log.likelihood","train.recs","nrecs"
"1","Gaussian process",0.645695364238411,0.642407277816655,-907.399681245582,3379,5000
"2","Gaussian process",0.632450331125828,0.625176803394625,-901.103150515221,3378,5000
"3","Gaussian process",0.667701863354037,0.65034965034965,-907.114247894363,3379,5000
"4","Gaussian process",0.641744548286604,0.628294036061026,-924.644839605721,3387,5000
"5","Gaussian process",0.6578073089701,0.615275813295615,-918.099823599594,3369,5000
"6","Gaussian process",0.688963210702341,0.64673157162726,-916.047880330795,3385,5000
"7","Gaussian process",0.6957928802589,0.636490250696379,-905.258441319735,3371,5000
"8","Gaussian process",0.651465798045603,0.651343705799151,-906.729314155766,3375,5000
"9","Gaussian process",0.673139158576052,0.655944055944056,-901.821200422566,3391,5000
"10","Gaussian process",0.68259385665529,0.633008356545961,-920.450821183924,3369,5000
"1","Uniform",0,0.56657223796034,-978.723818950643,3382,5000
"2","Marginal",0,0.56657223796034,-967.203611276718,3382,5000
"3","Random",0.506666666666667,0.507790368271955,-1437.58801521064,3382,5000
"4","Logistic",0.66,0.611189801699717,-1287.48617552273,3382,5000
"5","Decision tree",0.356666666666667,0.590651558073654,-1022.99407683498,3382,5000
"6","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.66,0.653682719546742,-884.272699513861,3382,5000
"7","Random forest",0.62,0.646600566572238,-886.130607784846,3382,5000
"8","Boosted classification trees (999 trees)",0.583333333333333,0.604815864022663,-935.267373588561,3382,5000
"9","Uniform",0,0.432072829131653,-989.814173839602,3376,5000
"10","Marginal",0,0.567927170868347,-978.5798111426,3376,5000
"11","Random",0.461038961038961,0.5203081232493,-1377.85623789493,3376,5000
"12","Logistic",0.668831168831169,0.641456582633053,-1366.37932766461,3376,5000
"13","Decision tree",0.305194805194805,0.620448179271709,-1004.06894532995,3376,5000
"14","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.665584415584416,0.656162464985994,-893.689929510335,3376,5000
"15","Random forest",0.694805194805195,0.659663865546218,-886.938458340652,3376,5000
"16","Boosted classification trees (1000 trees)",0.581168831168831,0.61484593837535,-933.469940688219,3376,5000
"17","Uniform",0,0.420541290770298,-998.825087186881,3378,5000
"18","Marginal",0,0.579458709229702,-980.580759577173,3378,5000
"19","Random",0.536050156739812,0.504510756419153,-1496.52134785459,3378,5000
"20","Logistic",0.661442006269592,0.632199861207495,-1388.14445985421,3378,5000
"21","Decision tree",0.410658307210031,0.60235947258848,-1013.07026642129,3378,5000
"22","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.661442006269592,0.657182512144344,-909.901571776927,3378,5000
"23","Random forest",0.623824451410658,0.641221374045801,-915.689281088634,3378,5000
"24","Boosted classification trees (1000 trees)",0.623824451410658,0.614156835530881,-942.939175692767,3378,5000
"25","Uniform",0,0.420391061452514,-992.586762561842,3387,5000
"26","Marginal",0,0.579608938547486,-974.417015800795,3387,5000
"27","Random",0.487654320987654,0.519553072625698,-1399.03436326702,3387,5000
"28","Logistic",0.632716049382716,0.638268156424581,-1196.97908020151,3387,5000
"29","Decision tree",0.33641975308642,0.622206703910615,-976.83203282703,3387,5000
"30","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.645061728395062,0.634776536312849,-917.571872803458,3387,5000
"31","Random forest",0.638888888888889,0.639664804469274,-902.869011950378,3387,5000
"32","Boosted classification trees (1000 trees)",0.592592592592593,0.634078212290503,-937.220865653919,3387,5000
"33","Uniform",0,0.592696629213483,-987.041585117362,3371,5000
"34","Marginal",0,0.592696629213483,-962.761781326308,3371,5000
"35","Random",0.489096573208723,0.502808988764045,-1379.66004414985,3371,5000
"36","Logistic",0.641744548286604,0.593398876404494,-1313.00803483567,3371,5000
"37","Decision tree",0.370716510903427,0.592696629213483,-1023.01578237357,3371,5000
"38","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.635514018691589,0.641151685393258,-906.805712047578,3371,5000
"39","Random forest",0.64797507788162,0.652387640449438,-898.8803989536,3371,5000
"40","Boosted classification trees (1000 trees)",0.554517133956386,0.596910112359551,-945.276683561005,3371,5000
"41","Uniform",0,0.599433828733192,-979.416966131203,3384,5000
"42","Marginal",0,0.599433828733192,-952.893265345449,3384,5000
"43","Random",0.54421768707483,0.51238499646143,-1432.3677088163,3384,5000
"44","Logistic",0.663265306122449,0.630573248407643,-1218.7883677686,3384,5000
"45","Decision tree",0.370748299319728,0.612172682236377,-996.459547780293,3384,5000
"46","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.673469387755102,0.64897381457891,-871.143321189698,3384,5000
"47","Random forest",0.649659863945578,0.657466383581033,-877.182879268772,3384,5000
"48","Boosted classification trees (1000 trees)",0.670068027210884,0.641896673743808,-908.650408202095,3384,5000
"49","Uniform",0,0.587078651685393,-987.041585117362,3371,5000
"50","Marginal",0,0.587078651685393,-965.789843443229,3371,5000
"51","Random",0.470394736842105,0.499297752808989,-1472.03172776391,3371,5000
"52","Logistic",0.638157894736842,0.596207865168539,-1275.34563841386,3371,5000
"53","Decision tree",0.355263157894737,0.577949438202247,-1088.88261584727,3371,5000
"54","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.657894736842105,0.626404494382023,-916.220434305994,3371,5000
"55","Random forest",0.648026315789474,0.639747191011236,-905.750029562504,3371,5000
"56","Boosted classification trees (998 trees)",0.605263157894737,0.617977528089888,-942.074653559492,3371,5000
"57","Uniform",0,0.57033957033957,-1000.211381548,3373,5000
"58","Marginal",0,0.57033957033957,-985.981033738877,3373,5000
"59","Random",0.520588235294118,0.5003465003465,-1428.87634492211,3373,5000
"60","Logistic",0.676470588235294,0.622314622314622,-1195.67556777405,3373,5000
"61","Decision tree",0.467647058823529,0.625086625086625,-1005.82295214338,3373,5000
"62","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.658823529411765,0.625779625779626,-922.80277335234,3373,5000
"63","Random forest",0.655882352941176,0.633402633402633,-927.558993664022,3373,5000
"64","Boosted classification trees (995 trees)",0.661764705882353,0.588357588357588,-952.30988289857,3373,5000
"65","Uniform",0,0.442957746478873,-984.268996395122,3391,5000
"66","Marginal",0,0.557042253521127,-976.792488793604,3391,5000
"67","Random",0.501766784452297,0.516901408450704,-1396.96610810897,3391,5000
"68","Logistic",0.685512367491166,0.622535211267606,-1528.27791741107,3391,5000
"69","Decision tree",0.45583038869258,0.567605633802817,-1037.59727482722,3391,5000
"70","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.660777385159011,0.625352112676056,-911.141369308138,3391,5000
"71","Random forest",0.681978798586572,0.650704225352113,-892.503118310653,3391,5000
"72","Boosted classification trees (1000 trees)",0.628975265017668,0.591549295774648,-946.638661102829,3391,5000
"73","Uniform",0,0.549157303370786,-987.041585117362,3369,5000
"74","Marginal",0,0.549157303370786,-982.910945445947,3369,5000
"75","Random",0.521172638436482,0.490870786516854,-1500.57012500191,3369,5000
"76","Logistic",0.677524429967427,0.605337078651685,-1316.65868458528,3369,5000
"77","Decision tree",0.413680781758958,0.611657303370786,-1001.96339428848,3369,5000
"78","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.667752442996743,0.620786516853933,-921.55122182664,3369,5000
"79","Random forest",0.654723127035831,0.624297752808989,-913.270486426473,3369,5000
"80","Boosted classification trees (1000 trees)",0.592833876221498,0.595505617977528,-948.84426001641,3369,5000
