"","method","ranking.accuracy","class.accuracy","log.likelihood","train.recs","nrecs"
"1","Uniform",0,0.600203114421124,-2047.55677137408,6948,10000
"2","Marginal",0,0.600203114421124,-1993.17280830073,6948,10000
"3","Random",0.485799701046338,0.512863913337847,-2924.44481145606,6948,10000
"4","Logistic",0.708520179372197,0.663845633039946,-2252.5076459559,6948,10000
"5","Decision tree",0.33034379671151,0.646242383209208,-1934.73980522704,6948,10000
"6","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.708520179372197,0.679079214624238,-1798.15973492535,6948,10000
"7","Random forest",0.656203288490284,0.664184157075152,-1824.63732199486,6948,10000
"8","Boosted classification trees (1000 trees)",0.68609865470852,0.637440758293839,-1878.33982708059,6948,10000
"9","Uniform",0,0.607190860215054,-2062.8060093464,6960,10000
"10","Marginal",0,0.607190860215054,-1995.95146997995,6960,10000
"11","Random",0.519319938176198,0.503360215053763,-2977.61771202475,6960,10000
"12","Logistic",0.721792890262751,0.658266129032258,-2544.83818032919,6960,10000
"13","Decision tree",0.347758887171561,0.65625,-1924.69227982388,6960,10000
"14","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.724884080370943,0.68380376344086,-1769.39328605933,6960,10000
"15","Random forest",0.720247295208655,0.681787634408602,-1774.1698665299,6960,10000
"16","Boosted classification trees (1000 trees)",0.697063369397218,0.642137096774194,-1877.55237944768,6960,10000
"17","Uniform",0,0.372297297297297,-2051.71565445744,6956,10000
"18","Marginal",0,0.627702702702703,-1954.09447334119,6956,10000
"19","Random",0.512232415902141,0.490540540540541,-3071.0495826345,6956,10000
"20","Logistic",0.732415902140673,0.671959459459459,-2213.20266686808,6956,10000
"21","Decision tree",0.45565749235474,0.653040540540541,-1909.37993632587,6956,10000
"22","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.738532110091743,0.682432432432432,-1746.05759733264,6956,10000
"23","Random forest",0.706422018348624,0.678716216216216,-1773.94758279084,6956,10000
"24","Boosted classification trees (1000 trees)",0.691131498470948,0.657432432432432,-1840.65280558878,6956,10000
"25","Uniform",0,0.375,-2051.71565445744,6962,10000
"26","Marginal",0,0.625,-1958.35401364739,6962,10000
"27","Random",0.458990536277603,0.5,-2970.01963954694,6962,10000
"28","Logistic",0.711356466876972,0.686148648648649,-2101.87616549883,6962,10000
"29","Decision tree",0.419558359621451,0.690540540540541,-1809.03438479125,6962,10000
"30","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.717665615141956,0.697635135135135,-1736.55289096746,6962,10000
"31","Random forest",0.711356466876972,0.686148648648649,-1763.25349558145,6962,10000
"32","Boosted classification trees (1000 trees)",0.703470031545741,0.669594594594595,-1837.10699893939,6962,10000
"33","Uniform",0,0.607718120805369,-2065.57859806864,6956,10000
"34","Marginal",0,0.607718120805369,-1996.35715940712,6956,10000
"35","Random",0.497645211930926,0.483557046979866,-3051.37879935175,6956,10000
"36","Logistic",0.704866562009419,0.667114093959732,-2250.00536033823,6956,10000
"37","Decision tree",0.351648351648352,0.656711409395973,-1906.91519431078,6956,10000
"38","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.703296703296703,0.682214765100671,-1786.44278685181,6956,10000
"39","Random forest",0.689167974882261,0.672147651006711,-1794.66745751775,6956,10000
"40","Boosted classification trees (1000 trees)",0.676609105180534,0.651006711409396,-1879.91931769488,6956,10000
"41","Uniform",0,0.610026917900404,-2060.03342062416,6956,10000
"42","Marginal",0,0.610026917900404,-1988.75158420527,6956,10000
"43","Random",0.495961227786753,0.509084791386272,-2942.54609610379,6956,10000
"44","Logistic",0.689822294022617,0.656460296096904,-2469.60808168787,6956,10000
