"","method","ranking.accuracy","class.accuracy","log.likelihood","train.recs","nrecs"
"1","Gaussian process",0.729096989966555,0.665749656121045,-896.273213737264,3430,5000
"2","Gaussian process",0.725552050473186,0.667355371900826,-899.729651821671,3440,5000
"3","Gaussian process",0.739130434782609,0.675102599179207,-882.919545036731,3436,5000
"4","Gaussian process",0.684713375796178,0.678035470668486,-898.267645709218,3438,5000
"5","Gaussian process",0.68013468013468,0.657931034482759,-896.126862648074,3440,5000
"6","Gaussian process",0.716612377850163,0.670798898071625,-889.944968559813,3428,5000
"7","Gaussian process",0.722397476340694,0.686730506155951,-886.250825498227,3438,5000
"8","Gaussian process",0.748427672955975,0.679452054794521,-881.199486278901,3428,5000
"9","Gaussian process",0.761904761904762,0.671467764060357,-891.006856978293,3430,5000
"10","Gaussian process",0.730407523510972,0.669655172413793,-888.658582060042,3430,5000
"1","Uniform",0,0.616659252669039,-6232.77944759503,20994,30000
"2","Marginal",0,0.616659252669039,-5985.86534288885,20994,30000
"3","Random",0.484563055991627,0.497998220640569,-9103.85454240078,20994,30000
"4","Logistic",0.701203558346415,0.686387900355872,-5589.23299345343,20994,30000
"5","Decision tree",0.574045002616431,0.69028024911032,-5458.72378736418,20994,30000
"6","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.710099424385139,0.691948398576512,-5299.42122724338,20994,30000
"7","Random forest",0.703819989534275,0.688723309608541,-5325.22425564387,20994,30000
"8","Boosted classification trees (1000 trees)",0.687074829931973,0.68038256227758,-5575.0956674469,20994,30000
"9","Uniform",0,0.61559857587895,-6230.00685887279,20980,30000
"10","Marginal",0,0.61559857587895,-5988.48902843704,20980,30000
"11","Random",0.492030848329049,0.496884735202492,-9051.55955435454,20980,30000
"12","Logistic",0.720308483290488,0.685580774365821,-5659.7901775149,20980,30000
"13","Decision tree",0.398457583547558,0.690921228304406,-5447.44317948521,20980,30000
"14","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.723393316195373,0.695927903871829,-5231.27437138114,20980,30000
"15","Random forest",0.705398457583548,0.69681797952826,-5262.03925703012,20980,30000
"16","Boosted classification trees (1000 trees)",0.711568123393316,0.680462839341344,-5547.47474430402,20980,30000
"17","Uniform",0,0.376140663253951,-6228.62056451167,20986,30000
"18","Marginal",0,0.623859336746049,-5950.11320337374,20986,30000
"19","Random",0.501024590163934,0.499332294680614,-8953.51312902502,20986,30000
"20","Logistic",0.728483606557377,0.692299131983085,-5512.53734194026,20986,30000
"21","Decision tree",0.33094262295082,0.696082795459604,-5512.82185265331,20986,30000
"22","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.726946721311475,0.697418206098375,-5237.34255680154,20986,30000
"23","Random forest",0.725922131147541,0.694636100600935,-5249.60591350784,20986,30000
"24","Boosted classification trees (1000 trees)",0.706454918032787,0.679835299354552,-5545.83563748711,20986,30000
"25","Uniform",0,0.37533422459893,-6221.68909270607,20988,30000
"26","Marginal",0,0.624665775401069,-5939.75476155839,20988,30000
"27","Random",0.499736147757256,0.499777183600713,-8964.2980386814,20988,30000
"28","Logistic",0.715039577836412,0.688502673796791,-5524.59077263582,20988,30000
"29","Decision tree",0.32401055408971,0.692067736185383,-5532.13926167391,20988,30000
"30","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.719261213720317,0.699197860962567,-5226.3251718674,20988,30000
"31","Random forest",0.704485488126649,0.691733511586453,-5274.94006558104,20988,30000
"32","Boosted classification trees (1000 trees)",0.699208443271768,0.678141711229946,-5534.07917701651,20988,30000
"33","Uniform",0,0.623441674087266,-6227.23427015055,20984,30000
"34","Marginal",0,0.623441674087266,-5951.63192999899,20984,30000
"35","Random",0.50344462109168,0.503450578806768,-9052.35076985554,20984,30000
"36","Logistic",0.721780604133545,0.68833481745325,-5524.96821260373,20984,30000
"37","Decision tree",0.341282458929518,0.692898486197685,-5498.1356338494,20984,30000
"38","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.713301536830949,0.693009795191451,-5279.6805940661,20984,30000
"39","Random forest",0.720720720720721,0.699020480854853,-5260.42746948238,20984,30000
"40","Boosted classification trees (1000 trees)",0.704822469528352,0.684884238646483,-5544.09253576376,20984,30000
"41","Uniform",0,0.375083500334001,-6225.84797578943,20986,30000
"42","Marginal",0,0.624916499665999,-5942.63390901206,20986,30000
"43","Random",0.490319204604919,0.504564684925406,-8880.02501432014,20986,30000
"44","Logistic",0.709576138147567,0.683700734802939,-5599.65859533915,20986,30000
"45","Decision tree",0.316588173731031,0.685370741482966,-5523.87917400561,20986,30000
"46","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.712192569335427,0.694166109997773,-5279.53310500569,20986,30000
"47","Random forest",0.699110413396128,0.684257403696281,-5335.30281518688,20986,30000
"48","Boosted classification trees (1000 trees)",0.690737833594976,0.67646403918949,-5558.24794789263,20986,30000
"49","Uniform",0,0.621636646653324,-6234.16574195615,20986,30000
"50","Marginal",0,0.621636646653324,-5965.33737710134,20986,30000
"51","Random",0.511995916283818,0.49733155436958,-9080.57535149138,20986,30000
"52","Logistic",0.713629402756508,0.687458305537025,-5644.09698996149,20986,30000
"53","Decision tree",0.378254211332312,0.691683344451857,-5461.81604771455,20986,30000
"54","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.705461970393058,0.695686012897487,-5267.33817162253,20986,30000
"55","Random forest",0.69576314446146,0.692684011563264,-5277.18138305949,20986,30000
"56","Boosted classification trees (1000 trees)",0.69576314446146,0.67900822770736,-5558.41449434584,20986,30000
"57","Uniform",0,0.621802002224694,-6231.39315323391,20986,30000
"58","Marginal",0,0.621802002224694,-5962.86635517264,20986,30000
"59","Random",0.510141987829615,0.495884315906563,-8921.48214149963,20986,30000
"60","Logistic",0.731237322515213,0.687986651835373,-5567.30196569854,20986,30000
"61","Decision tree",0.452332657200811,0.69210233592881,-5472.26362250028,20986,30000
"62","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.73580121703854,0.69432703003337,-5266.63412937755,20986,30000
"63","Random forest",0.720588235294118,0.69154616240267,-5298.25450775796,20986,30000
"64","Boosted classification trees (1000 trees)",0.716531440162272,0.686874304783092,-5554.91799479342,20986,30000
"65","Uniform",0,0.628299365185433,-4149.17902283183,13980,20000
"66","Marginal",0,0.628299365185433,-3951.91718604748,13980,20000
"67","Random",0.502008032128514,0.498162378884063,-6025.35842436948,13980,20000
"68","Logistic",0.705220883534137,0.684096224523889,-3901.48095339013,13980,20000
"69","Decision tree",0.42570281124498,0.687270297360508,-3631.21583837319,13980,20000
"70","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.698795180722892,0.697794854660875,-3494.19956466723,13980,20000
"71","Random forest",0.673895582329317,0.692783160708319,-3554.32083886968,13980,20000
"72","Boosted classification trees (1000 trees)",0.680321285140562,0.685933845639826,-3684.96243245241,13980,20000
"73","Uniform",0,0.619023737880308,-4146.40643410959,13978,20000
"74","Marginal",0,0.619023737880308,-3975.62835701127,13978,20000
"75","Random",0.507235338918507,0.49983283182882,-6003.78180390827,13978,20000
"76","Logistic",0.733434881949733,0.687897024406553,-3749.91538769987,13978,20000
"77","Decision tree",0.53008377760853,0.674022066198596,-3642.09552002994,13978,20000
"78","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.731911652703732,0.689234369775995,-3527.43552118603,13978,20000
"79","Random forest",0.699162223914699,0.683216315613507,-3552.5361808102,13978,20000
"80","Boosted classification trees (1000 trees)",0.713632901751714,0.670845870946172,-3711.91616900145,13978,20000
"81","Uniform",0,0.628008021390374,-4147.79272847071,13980,20000
"82","Marginal",0,0.628008021390374,-3949.6136966946,13980,20000
"83","Random",0.478537360890302,0.494819518716578,-6029.27954060278,13980,20000
"84","Logistic",0.720190779014308,0.685327540106952,-3749.77445742312,13980,20000
"85","Decision tree",0.405405405405405,0.692012032085562,-3616.09613908797,13980,20000
"86","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.732909379968203,0.701704545454545,-3471.63857548233,13980,20000
"87","Random forest",0.717011128775835,0.689839572192513,-3508.01354882778,13980,20000
"88","Boosted classification trees (1000 trees)",0.705882352941177,0.680648395721925,-3692.12657260898,13980,20000
"89","Uniform",0,0.371657754010695,-4147.79272847071,13976,20000
"90","Marginal",0,0.628342245989305,-3948.64547073817,13976,20000
"91","Random",0.505573248407643,0.5,-5976.21870736809,13976,20000
"92","Logistic",0.730095541401274,0.681985294117647,-3914.42852683516,13976,20000
"93","Decision tree",0.337579617834395,0.69418449197861,-3650.0025433332,13976,20000
"94","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.734076433121019,0.698362299465241,-3464.39143614677,13976,20000
"95","Random forest",0.71656050955414,0.692012032085562,-3495.89855446025,13976,20000
"96","Boosted classification trees (1000 trees)",0.710987261146497,0.678643048128342,-3683.40179211759,13976,20000
"97","Uniform",0,0.387867647058824,-4147.79272847071,13972,20000
"98","Marginal",0,0.612132352941177,-3996.55203804876,13972,20000
"99","Random",0.473642800944138,0.499832887700535,-6044.50184993235,13972,20000
"100","Logistic",0.715184893784422,0.682653743315508,-3785.2873185445,13972,20000
"101","Decision tree",0.313139260424862,0.690173796791444,-3699.18014597994,13972,20000
"102","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.720692368214005,0.695521390374332,-3522.90718055448,13972,20000
"103","Random forest",0.712037765538946,0.686163101604278,-3570.57898030395,13972,20000
"104","Boosted classification trees (1000 trees)",0.703383162863887,0.671624331550802,-3726.21810322957,13972,20000
"105","Uniform",0,0.619390488948426,-4139.47496230399,13980,20000
"106","Marginal",0,0.619390488948426,-3967.6188039241,13980,20000
"107","Random",0.489623366641045,0.494809109176155,-6087.41405617405,13980,20000
"108","Logistic",0.710991544965411,0.678164768921634,-3899.92067226497,13980,20000
"109","Decision tree",0.508839354342813,0.66543871399866,-3686.52128020466,13980,20000
"110","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.717140661029977,0.689383791024782,-3542.58920635155,13980,20000
"111","Random forest",0.714066102997694,0.682183523107837,-3556.03157853606,13980,20000
"112","Boosted classification trees (1000 trees)",0.701767870868563,0.666108506363027,-3717.77149291363,13980,20000
"113","Uniform",0,0.370197126628801,-4149.17902283183,13980,20000
"114","Marginal",0,0.629802873371199,-3945.7721030629,13980,20000
"115","Random",0.492857142857143,0.51219512195122,-5885.09068840212,13980,20000
"116","Logistic",0.722222222222222,0.684263280988974,-3756.42397559008,13980,20000
"117","Decision tree",0.555555555555556,0.67223521550284,-3655.03622235094,13980,20000
"118","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.719047619047619,0.69345138656866,-3496.96272290609,13980,20000
"119","Random forest",0.722222222222222,0.692783160708319,-3524.56480853399,13980,20000
"120","Boosted classification trees (1000 trees)",0.703174603174603,0.673738723688607,-3698.45648236183,13980,20000
"121","Uniform",0,0.617163928930607,-4135.31607922063,13970,20000
"122","Marginal",0,0.617163928930607,-3969.99236657277,13970,20000
"123","Random",0.503949447077409,0.502011397921555,-5940.0271193281,13970,20000
